# klaverjas spoor; spellen=200; zaad=6
25;6;3;1;2;A;38
25;7;0;1;0;T;7
25;7;1;4;1;7;53
25;7;2;3;0;9;36
25;7;3;2;0;B;38
25;8;0;3;1;A;9
25;8;1;4;1;V;40
25;8;2;1;1;T;36
25;8;3;2;2;T;53
25;=;3;68;84;50;20
26;1;0;1;1;T;7
26;1;1;4;2;8;53
26;1;2;3;1;B;6
26;1;3;2;1;8;3
26;2;0;1;3;T;63
26;2;1;4;3;9;34
26;2;2;3;0;H;69
26;2;3;2;3;A;46
26;3;0;4;0;A;7
26;3;1;3;0;V;40
26;3;2;2;0;B;36
26;3;3;1;0;8;3
26;4;0;2;2;A;7
26;4;1;3;2;B;40
26;4;2;4;2;V;36
26;4;3;1;2;9;3
26;5;0;2;1;9;58
26;5;1;3;1;V;34
26;5;2;4;0;7;53
26;5;3;1;1;7;3
26;6;0;4;3;B;5
26;6;1;3;1;H;65
26;6;2;2;3;7;34
26;6;3;1;0;T;68
26;7;0;3;0;9;9
26;7;1;4;3;H;53
26;7;2;1;2;T;53
26;7;3;2;3;V;53
26;8;0;1;1;A;56
26;8;1;4;3;8;53
26;8;2;3;2;7;53
26;8;3;2;2;H;53
26;=;1;78;74;10;0
27;1;0;4;3;T;7
27;1;1;3;3;H;40
27;1;2;2;3;9;67
27;1;3;1;3;7;3
27;2;0;4;0;T;9
27;2;1;3;0;7;40
27;2;2;2;2;9;68
27;2;3;1;0;A;46
27;3;0;3;2;A;9
27;3;1;4;1;8;53
27;3;2;1;2;8;4
27;3;3;2;2;7;38
27;4;0;1;0;H;8
27;4;1;4;0;9;40
27;4;2;3;0;8;36
27;4;3;2;3;A;29
27;5;0;4;1;A;9
27;5;1;3;2;B;53
27;5;2;2;1;9;4
27;5;3;1;1;7;38
27;6;0;2;3;B;58
27;6;1;3;1;V;53
27;6;2;4;2;H;53
27;6;3;1;3;8;3
27;7;0;4;1;H;13
27;7;1;3;2;T;53
27;7;2;2;1;T;4
27;7;3;1;3;V;29
27;8;0;1;2;V;8
27;8;1;4;0;V;53
27;8;2;3;0;B;53
27;8;3;2;1;B;53
27;=;3;69;83;10;0
28;1;0;3;0;T;10
28;1;1;4;0;B;34
28;1;2;1;1;7;68
28;1;3;2;0;8;3
28;2;0;1;2;B;58
28;2;1;4;3;8;53
28;2;2;3;3;T;52
28;2;3;2;2;H;3
28;3;0;3;1;8;13
28;3;1;4;1;9;40
28;3;2;1;1;T;36
28;3;3;2;1;A;38
28;4;0;2;3;A;8
28;4;1;3;3;B;40
28;4;2;4;3;9;36
28;4;3;1;3;7;38
28;5;0;2;2;A;58
